Circuit: * D:\Sim\igbt.asc

Direct Newton iteration for .op point succeeded.
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 +to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728383
Heightened Def Con from 0.00728383 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 ++to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 +to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 +to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 ++to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 +to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 ++to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728384
Heightened Def Con from 0.00728384 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
Heightened Def Con from 0.00728385 to 0.00728385
